"","alpha","Method","coverage","width","simul_id","width_base","diff_coverage","ratio_width"
"1",0.02,"training data quantile",0.9732,3.32378199799869,1,3.32319444543124,-0.00680000000000003,1.00017680354764
"2",0.03,"training data quantile",0.96155,3.02285056729657,1,3.11595489362727,-0.00844999999999996,0.970120130262117
"3",0.04,"training data quantile",0.95445,2.90246981775905,1,2.93815458716279,-0.00554999999999994,0.987854699831094
"4",0.05,"training data quantile",0.9438,2.73852857922286,1,2.72524921267483,-0.00619999999999998,1.00487271640563
"5",0.06,"training data quantile",0.9356,2.66322545678229,1,2.58360761290858,-0.00439999999999996,1.03081653865545
"6",0.07,"training data quantile",0.9233,2.57675750316346,1,2.5234968318793,-0.00669999999999993,1.02110589980194
"7",0.08,"training data quantile",0.91475,2.52674297071626,1,2.47079187040594,-0.00525000000000009,1.02264500744902
"8",0.09,"training data quantile",0.9037,2.46139196911,1,2.42354315145718,-0.00630000000000008,1.01561714204679
"9",0.1,"training data quantile",0.89575,2.41598918625505,1,2.37636416341634,-0.00424999999999998,1.01667464248482
"10",0.11,"training data quantile",0.88915,2.3671186106611,1,2.32614419946136,-0.000850000000000017,1.01761473394867
"11",0.12,"training data quantile",0.88095,2.3151506676504,1,2.27717990089819,0.000950000000000006,1.01667446947746
"12",0.13,"training data quantile",0.8692,2.23770574233303,1,2.22869977956179,-0.000800000000000023,1.00404090441155
"13",0.14,"training data quantile",0.8606,2.18133474516529,1,2.1812292974643,0.000599999999999934,1.00004834324438
"14",0.15,"training data quantile",0.84945,2.11478884090846,1,2.13373897601065,-0.000549999999999939,0.991118812884216
"15",0.16,"training data quantile",0.84095,2.07081460251124,1,2.08591488400252,0.000950000000000006,0.992760835254071
"16",0.17,"training data quantile",0.8288,2.01118944416442,1,2.03249461111007,-0.00120000000000009,0.989517725247985
"17",0.18,"training data quantile",0.82,1.96701112874551,1,1.97229862287256,0,0.997319120915193
"18",0.19,"training data quantile",0.8108,1.92525971386937,1,1.89731303674059,0.000799999999999912,1.01472960791794
"19",0.2,"training data quantile",0.802,1.88544908594714,1,1.80115518018489,0.002,1.04679991301671
"20",0.21,"training data quantile",0.79415,1.85320310335323,1,1.73411239084782,0.0041500000000001,1.06867531374203
"21",0.22,"training data quantile",0.7834,1.80567978679777,1,1.70075141231597,0.00340000000000007,1.0616953034535
"22",0.23,"training data quantile",0.77585,1.7711498032074,1,1.67423061689947,0.00585000000000013,1.05788879102415
"23",0.24,"training data quantile",0.7639,1.72284952685598,1,1.65071179542492,0.00390000000000001,1.04370098501204
"24",0.25,"training data quantile",0.75235,1.67744968075799,1,1.62821664989671,0.00234999999999985,1.03023739553603
"25",0.26,"training data quantile",0.744,1.64929657065669,1,1.60693476503163,0.004,1.02636187015608
"26",0.27,"training data quantile",0.73625,1.62467887469677,1,1.5861833595933,0.00625000000000009,1.02426927181568
"27",0.28,"training data quantile",0.72525,1.59109862771857,1,1.56601346120277,0.00524999999999998,1.0160184871569
"28",0.29,"training data quantile",0.7154,1.56562169746427,1,1.54636124187441,0.00540000000000007,1.01245534036182
"29",0.3,"training data quantile",0.7071,1.547797859916,1,1.527272549376,0.00710000000000011,1.01343919299039
"30",0.31,"training data quantile",0.70095,1.53421279246568,1,1.50897305766475,0.01095,1.01672643170978
"31",0.32,"training data quantile",0.6881,1.51123499500177,1,1.49120420745438,0.0081,1.01343262542263
"32",0.33,"training data quantile",0.6801,1.49609152187111,1,1.47307498882528,0.0101,1.01562482101755
"33",0.34,"training data quantile",0.67,1.48352926955173,1,1.45543852922421,0.01,1.01930053366287
"34",0.35,"training data quantile",0.6594,1.46487392723555,1,1.43797721241865,0.00940000000000007,1.01870454871233
"35",0.36,"training data quantile",0.6471,1.44486477441178,1,1.42101590788556,0.00710000000000011,1.01678296941919
"36",0.37,"training data quantile",0.63975,1.42997345433138,1,1.40356147287013,0.00975000000000015,1.01881783019253
"37",0.38,"training data quantile",0.628,1.40908469168567,1,1.38634796014859,0.00800000000000001,1.01640045081802
"38",0.39,"training data quantile",0.61995,1.39398649952665,1,1.3684476876473,0.0099499999999999,1.01866261466176
"39",0.4,"training data quantile",0.6076,1.37053979693644,1,1.34869639616764,0.00760000000000005,1.01619593618762
