"","alpha","Method","coverage","width","simul_id","width_base","diff_coverage","ratio_width"
"1",0.02,"training data quantile",0.9703,3.16838427091209,1,3.32319444543124,-0.00969999999999993,0.953415252384047
"2",0.03,"training data quantile",0.9628,3.00431412169562,1,3.11595489362727,-0.00719999999999998,0.964171249025467
"3",0.04,"training data quantile",0.95055,2.81721947350406,1,2.93815458716279,-0.00944999999999996,0.958839771676035
"4",0.05,"training data quantile",0.94275,2.71602890604908,1,2.72524921267483,-0.00724999999999998,0.996616710654252
"5",0.06,"training data quantile",0.9323,2.59581645953874,1,2.58360761290858,-0.00770000000000004,1.00472550342752
"6",0.07,"training data quantile",0.92005,2.52027193580109,1,2.5234968318793,-0.0099499999999999,0.998722052654292
"7",0.08,"training data quantile",0.91195,2.46823774164427,1,2.47079187040594,-0.00805,0.998966271181208
"8",0.09,"training data quantile",0.90355,2.42249180947542,1,2.42354315145718,-0.00645000000000007,0.999566196301837
"9",0.1,"training data quantile",0.8964,2.37214623270824,1,2.37636416341634,-0.00360000000000005,0.998225048680236
"10",0.11,"training data quantile",0.8897,2.33138601854429,1,2.32614419946136,-0.000299999999999967,1.00225343686094
"11",0.12,"training data quantile",0.877,2.26068779765992,1,2.27717990089819,-0.003,0.992757663445136
"12",0.13,"training data quantile",0.86905,2.2190560382982,1,2.22869977956179,-0.000950000000000006,0.995672929412912
"13",0.14,"training data quantile",0.8584,2.16224348431832,1,2.1812292974643,-0.00159999999999993,0.991295819670104
"14",0.15,"training data quantile",0.84615,2.099321995848,1,2.13373897601065,-0.00385000000000002,0.983870107567237
"15",0.16,"training data quantile",0.8391,2.05973453370876,1,2.08591488400252,-0.000900000000000012,0.98744898437873
"16",0.17,"training data quantile",0.82765,1.99738727923297,1,2.03249461111007,-0.00235000000000007,0.982726974189652
"17",0.18,"training data quantile",0.81805,1.9546684210128,1,1.97229862287256,-0.00195000000000012,0.991061088997726
"18",0.19,"training data quantile",0.8089,1.91249292809612,1,1.89731303674059,-0.0011000000000001,1.00800073106629
"19",0.2,"training data quantile",0.80045,1.87012783616661,1,1.80115518018489,0.000450000000000061,1.0382935666735
"20",0.21,"training data quantile",0.78935,1.81489323097642,1,1.73411239084782,-0.000650000000000039,1.04658339364562
"21",0.22,"training data quantile",0.7822,1.78136613205154,1,1.70075141231597,0.00219999999999998,1.04739947246364
"22",0.23,"training data quantile",0.7703,1.73958360138293,1,1.67423061689947,0.000299999999999967,1.03903463705883
"23",0.24,"training data quantile",0.76265,1.71289659686536,1,1.65071179542492,0.00265000000000004,1.03767150729327
