"","alpha","Method","coverage","width","simul_id","width_base","diff_coverage","ratio_width"
"1",0.02,"training data quantile",0.966,3.13553150394751,1,3.32319444543124,-0.014,0.943529352686018
"2",0.03,"training data quantile",0.95305,2.89939067018255,1,3.11595489362727,-0.01695,0.930498280354558
"3",0.04,"training data quantile",0.9448,2.78294096555352,1,2.93815458716279,-0.0152,0.94717309215539
"4",0.05,"training data quantile",0.93315,2.65778645165454,1,2.72524921267483,-0.0168499999999999,0.975245287401047
"5",0.06,"training data quantile",0.92105,2.56361024895176,1,2.58360761290858,-0.01895,0.992259906706847
"6",0.07,"training data quantile",0.9121,2.50221993789796,1,2.5234968318793,-0.0179,0.991568487936046
"7",0.08,"training data quantile",0.90295,2.45044816432573,1,2.47079187040594,-0.01705,0.991766321427605
"8",0.09,"training data quantile",0.89215,2.38483384546285,1,2.42354315145718,-0.01785,0.98402780409705
"9",0.1,"training data quantile",0.8854,2.33468255628453,1,2.37636416341634,-0.0146000000000001,0.982459924377969
"10",0.11,"training data quantile",0.87735,2.2890025610737,1,2.32614419946136,-0.0126500000000001,0.984032959609185
"11",0.12,"training data quantile",0.86495,2.20983467808861,1,2.27717990089819,-0.01505,0.970426041972782
"12",0.13,"training data quantile",0.8565,2.15551188773334,1,2.22869977956179,-0.0135,0.967161170607357
"13",0.14,"training data quantile",0.844,2.07503147720812,1,2.1812292974643,-0.016,0.951312858130211
"14",0.15,"training data quantile",0.83515,2.02832650732686,1,2.13373897601065,-0.0148499999999999,0.950597298981305
"15",0.16,"training data quantile",0.8218,1.97522818404627,1,2.08591488400252,-0.0182,0.946936137804503
"16",0.17,"training data quantile",0.8107,1.92340368866561,1,2.03249461111007,-0.0193000000000001,0.946326587117062
"17",0.18,"training data quantile",0.8029,1.89390949507468,1,1.97229862287256,-0.0171000000000001,0.960254939648178
"18",0.19,"training data quantile",0.7903,1.84207732972677,1,1.89731303674059,-0.0197000000000001,0.970887404479808
"19",0.2,"training data quantile",0.7816,1.81152060793201,1,1.80115518018489,-0.0184000000000001,1.00575487768136
"20",0.21,"training data quantile",0.77125,1.76696234314193,1,1.73411239084782,-0.01875,1.018943381333
"21",0.22,"training data quantile",0.76365,1.73590508521176,1,1.70075141231597,-0.0163500000000001,1.02066949504861
"22",0.23,"training data quantile",0.75455,1.70788324085926,1,1.67423061689947,-0.01545,1.02010035154065
"23",0.24,"training data quantile",0.74275,1.6685383877536,1,1.65071179542492,-0.01725,1.0107993366123
"24",0.25,"training data quantile",0.73125,1.63133900990685,1,1.62821664989671,-0.01875,1.00191765635755
"25",0.26,"training data quantile",0.7227,1.60820756478253,1,1.60693476503163,-0.0173,1.0007920668459
"26",0.27,"training data quantile",0.7123,1.57879815834955,1,1.5861833595933,-0.0177,0.995344043171879
"27",0.28,"training data quantile",0.7045,1.56085157821802,1,1.56601346120277,-0.0155,0.996703806759886
"28",0.29,"training data quantile",0.69415,1.53796842824568,1,1.54636124187441,-0.0158499999999999,0.994572540101591
"29",0.3,"training data quantile",0.68755,1.52330439658906,1,1.527272549376,-0.01245,0.997401804420197
"30",0.31,"training data quantile",0.67625,1.50388308437942,1,1.50897305766475,-0.0137499999999999,0.996626862713372
"31",0.32,"training data quantile",0.66935,1.48544157862148,1,1.49120420745438,-0.01065,0.996135587061724
"32",0.33,"training data quantile",0.66065,1.46693744356049,1,1.47307498882528,-0.00934999999999997,0.995833514714905
"33",0.34,"training data quantile",0.64865,1.44471892799546,1,1.45543852922421,-0.01135,0.992634796308121
"34",0.35,"training data quantile",0.63685,1.42255552782933,1,1.43797721241865,-0.01315,0.98927543186628
"35",0.36,"training data quantile",0.63065,1.40401913606777,1,1.42101590788556,-0.00934999999999997,0.988038999617478
"36",0.37,"training data quantile",0.62285,1.38619084291175,1,1.40356147287013,-0.00714999999999999,0.987623890870373
"37",0.38,"training data quantile",0.6111,1.35963010641921,1,1.38634796014859,-0.00890000000000002,0.980727887588547
"38",0.39,"training data quantile",0.5995,1.33205536214064,1,1.3684476876473,-0.0105000000000001,0.973406125908084
"39",0.4,"training data quantile",0.59185,1.31368063315311,1,1.34869639616764,-0.00814999999999999,0.974037327367354
"40",0.41,"training data quantile",0.5836,1.29803030842721,1,1.32825577478805,-0.00639999999999996,0.977244242461015
"41",0.42,"training data quantile",0.57205,1.26925192330534,1,1.30787898495591,-0.00795000000000001,0.97046587482872
"42",0.43,"training data quantile",0.56385,1.25158234145164,1,1.28751834605312,-0.00614999999999999,0.972088937830172
"43",0.44,"training data quantile",0.55645,1.23139507959605,1,1.26682688890588,-0.00354999999999994,0.972031056792272
"44",0.45,"training data quantile",0.5445,1.20209577996596,1,1.24582362120737,-0.00550000000000006,0.9649004558133
"45",0.46,"training data quantile",0.53205,1.16681862149872,1,1.2250646799691,-0.0079499999999999,0.952454707557277
"46",0.47,"training data quantile",0.52445,1.14733667032147,1,1.20413835544474,-0.00554999999999994,0.952827941352058
"47",0.48,"training data quantile",0.5172,1.12852161176471,1,1.18287031538754,-0.00279999999999991,0.954053540007025
"48",0.49,"training data quantile",0.50475,1.10263887173164,1,1.16148123898358,-0.00524999999999998,0.94933851251577
"49",0.5,"training data quantile",0.4927,1.07463009322453,1,1.13993152738757,-0.00729999999999997,0.942714599435021
"50",0.02,"split dcp",0.9784,3.51164870157187,1,3.32319444543124,-0.00159999999999993,1.05670876598862
"51",0.03,"split dcp",0.966,3.13553150394751,1,3.11595489362727,-0.004,1.00628270016369
"52",0.04,"split dcp",0.9579,2.96950454902207,1,2.93815458716279,-0.00209999999999999,1.01066994976924
"53",0.05,"split dcp",0.94905,2.83601811189667,1,2.72524921267483,-0.000950000000000006,1.04064542013504
"54",0.06,"split dcp",0.9403,2.73861523600299,1,2.58360761290858,0.000299999999999967,1.05999658087395
"55",0.07,"split dcp",0.93315,2.65778645165454,1,2.5234968318793,0.00314999999999999,1.0532156878815
"56",0.08,"split dcp",0.92105,2.56361024895176,1,2.47079187040594,0.00105,1.03756624734667
"57",0.09,"split dcp",0.9072,2.47655093763976,1,2.42354315145718,-0.00280000000000002,1.02187202078523
"58",0.1,"split dcp",0.89865,2.43002632752763,1,2.37636416341634,-0.00135000000000007,1.02258162487779
"59",0.11,"split dcp",0.88865,2.36224022591944,1,2.32614419946136,-0.00135000000000007,1.01551753604374
"60",0.12,"split dcp",0.87735,2.2890025610737,1,2.27717990089819,-0.00265000000000004,1.00519179893114
