"","alpha","Method","coverage","width","simul_id","width_base","diff_coverage","ratio_width"
"1",0.02,"training data quantile",0.99065,4.28174068398719,1,3.32319444543124,0.01065,1.28844121350581
"2",0.03,"training data quantile",0.97815,3.47785075818844,1,3.11595489362727,0.00814999999999988,1.116142844462
"3",0.04,"training data quantile",0.9632,3.02833738873173,1,2.93815458716279,0.00320000000000009,1.03069368846791
"4",0.05,"training data quantile",0.9632,3.02833738873173,1,2.72524921267483,0.0132000000000001,1.11121484767238
"5",0.06,"training data quantile",0.95125,2.85465380606421,1,2.58360761290858,0.01125,1.10490996844931
"6",0.07,"training data quantile",0.94465,2.75618543835596,1,2.5234968318793,0.0146500000000001,1.09220879675263
"7",0.08,"training data quantile",0.9319,2.64037931921175,1,2.47079187040594,0.0119,1.06863688149417
"8",0.09,"training data quantile",0.9319,2.64037931921175,1,2.42354315145718,0.0219,1.08947072703211
"9",0.1,"training data quantile",0.9193,2.5465488638372,1,2.37636416341634,0.0193000000000001,1.07161558108005
"10",0.11,"training data quantile",0.9115,2.49570295805448,1,2.32614419946136,0.0215000000000001,1.07289262575913
"11",0.12,"training data quantile",0.90145,2.41612663599606,1,2.27717990089819,0.02145,1.06101702155506
"12",0.13,"training data quantile",0.89425,2.36452392086731,1,2.22869977956179,0.0242499999999999,1.06094322014616
"13",0.14,"training data quantile",0.88295,2.30267935251449,1,2.1812292974643,0.02295,1.05567963679535
"14",0.15,"training data quantile",0.87565,2.26440680794968,1,2.13373897601065,0.02565,1.0612389019501
"15",0.16,"training data quantile",0.87565,2.26440680794968,1,2.08591488400252,0.03565,1.08557008980379
"16",0.17,"training data quantile",0.8628,2.19695447115502,1,2.03249461111007,0.0327999999999999,1.08091527482827
"17",0.18,"training data quantile",0.8544,2.15308699455434,1,1.97229862287256,0.0344,1.09166379248314
"18",0.19,"training data quantile",0.8423,2.07857262654407,1,1.89731303674059,0.0323,1.09553488870496
"19",0.2,"training data quantile",0.83445,2.03680446712951,1,1.80115518018489,0.0344500000000001,1.13083230669799
"20",0.21,"training data quantile",0.8237,1.97932892798017,1,1.73411239084782,0.0337000000000001,1.1414075226188
"21",0.22,"training data quantile",0.81195,1.921918831005,1,1.70075141231597,0.0319499999999999,1.13004100251656
"22",0.23,"training data quantile",0.8045,1.88613033946819,1,1.67423061689947,0.0345,1.12656543276048
"23",0.24,"training data quantile",0.7919,1.83865434182547,1,1.65071179542492,0.0319,1.11385545733753
"24",0.25,"training data quantile",0.78435,1.80702556393552,1,1.62821664989671,0.0343499999999999,1.10981887087948
